vectores,dimension,k,filas_topk,filas_orden_completo,distancias_topk,distancias_orden_completo,coinciden
1000,64,10,300,300,30000,30000,sí
10000,16,10,300,300,300000,300000,sí
10000,32,10,300,300,300000,300000,sí
10000,64,1,30,30,300000,300000,sí
10000,64,5,150,150,300000,300000,sí
10000,64,10,300,300,300000,300000,sí
10000,64,20,600,600,300000,300000,sí
10000,64,50,1500,1500,300000,300000,sí
10000,128,10,300,300,300000,300000,sí
10000,256,10,300,300,300000,300000,sí
50000,64,10,300,300,1500000,1500000,sí
100000,64,10,300,300,3000000,3000000,sí
