estrategia,vectores,dimension,k,page_reads_por_consulta,buffer_hits_por_consulta,buffer_misses_por_consulta,tasa_aciertos,registros_examinados_por_consulta
fullsort,1000,64,10,67.0,1000.0,67.0,0.9372,1000.0
fullsort,10000,16,10,200.0,10000.0,200.0,0.9804,10000.0
fullsort,10000,32,10,358.0,10000.0,358.0,0.9654,10000.0
fullsort,10000,64,1,710.0,10000.0,710.0,0.9337,10000.0
fullsort,10000,64,5,710.0,10000.0,710.0,0.9337,10000.0
fullsort,10000,64,10,710.0,10000.0,710.0,0.9337,10000.0
fullsort,10000,64,20,710.0,10000.0,710.0,0.9337,10000.0
fullsort,10000,64,50,710.0,10000.0,710.0,0.9337,10000.0
fullsort,10000,128,10,1429.0,10000.0,1429.0,0.8750,10000.0
fullsort,10000,256,10,3334.0,10000.0,3334.0,0.7500,10000.0
fullsort,50000,64,10,3567.0,50000.0,3567.0,0.9334,50000.0
fullsort,100000,64,10,7139.0,100000.0,7139.0,0.9334,100000.0
topk,1000,64,10,67.0,1000.0,67.0,0.9372,1000.0
topk,10000,16,10,200.0,10000.0,200.0,0.9804,10000.0
topk,10000,32,10,358.0,10000.0,358.0,0.9654,10000.0
topk,10000,64,1,710.0,10000.0,710.0,0.9337,10000.0
topk,10000,64,5,710.0,10000.0,710.0,0.9337,10000.0
topk,10000,64,10,710.0,10000.0,710.0,0.9337,10000.0
topk,10000,64,20,710.0,10000.0,710.0,0.9337,10000.0
topk,10000,64,50,710.0,10000.0,710.0,0.9337,10000.0
topk,10000,128,10,1429.0,10000.0,1429.0,0.8750,10000.0
topk,10000,256,10,3334.0,10000.0,3334.0,0.7500,10000.0
topk,50000,64,10,3567.0,50000.0,3567.0,0.9334,50000.0
topk,100000,64,10,7139.0,100000.0,7139.0,0.9334,100000.0
