estrategia,vectores,dimension,k,consulta,latencia_ms,distancias,registros_examinados,page_reads,buffer_hits,buffer_misses,filas
topk,1000,64,10,0,0.608427,1000,1000,67,1000,67,10
topk,1000,64,10,1,0.588047,1000,1000,67,1000,67,10
topk,1000,64,10,2,0.595923,1000,1000,67,1000,67,10
topk,1000,64,10,3,0.600291,1000,1000,67,1000,67,10
topk,1000,64,10,4,0.591064,1000,1000,67,1000,67,10
topk,1000,64,10,5,0.587737,1000,1000,67,1000,67,10
topk,1000,64,10,6,0.586464,1000,1000,67,1000,67,10
topk,1000,64,10,7,0.589350,1000,1000,67,1000,67,10
topk,1000,64,10,8,0.589290,1000,1000,67,1000,67,10
topk,1000,64,10,9,0.585423,1000,1000,67,1000,67,10
topk,1000,64,10,10,0.594450,1000,1000,67,1000,67,10
topk,1000,64,10,11,0.592156,1000,1000,67,1000,67,10
topk,1000,64,10,12,0.586876,1000,1000,67,1000,67,10
topk,1000,64,10,13,0.597757,1000,1000,67,1000,67,10
topk,1000,64,10,14,0.583779,1000,1000,67,1000,67,10
topk,1000,64,10,15,0.590152,1000,1000,67,1000,67,10
topk,1000,64,10,16,0.593819,1000,1000,67,1000,67,10
topk,1000,64,10,17,0.583109,1000,1000,67,1000,67,10
topk,1000,64,10,18,0.590653,1000,1000,67,1000,67,10
topk,1000,64,10,19,0.586635,1000,1000,67,1000,67,10
topk,1000,64,10,20,0.591113,1000,1000,67,1000,67,10
topk,1000,64,10,21,0.591253,1000,1000,67,1000,67,10
topk,1000,64,10,22,0.586123,1000,1000,67,1000,67,10
topk,1000,64,10,23,0.593087,1000,1000,67,1000,67,10
topk,1000,64,10,24,0.586615,1000,1000,67,1000,67,10
topk,1000,64,10,25,0.595111,1000,1000,67,1000,67,10
topk,1000,64,10,26,0.590142,1000,1000,67,1000,67,10
topk,1000,64,10,27,0.587577,1000,1000,67,1000,67,10
topk,1000,64,10,28,0.591855,1000,1000,67,1000,67,10
topk,1000,64,10,29,0.587336,1000,1000,67,1000,67,10
fullsort,1000,64,10,0,0.749948,1000,1000,67,1000,67,10
fullsort,1000,64,10,1,0.777902,1000,1000,67,1000,67,10
fullsort,1000,64,10,2,0.766580,1000,1000,67,1000,67,10
fullsort,1000,64,10,3,0.758344,1000,1000,67,1000,67,10
fullsort,1000,64,10,4,0.764816,1000,1000,67,1000,67,10
fullsort,1000,64,10,5,0.765888,1000,1000,67,1000,67,10
fullsort,1000,64,10,6,0.955262,1000,1000,67,1000,67,10
fullsort,1000,64,10,7,0.943258,1000,1000,67,1000,67,10
fullsort,1000,64,10,8,0.775126,1000,1000,67,1000,67,10
fullsort,1000,64,10,9,0.765037,1000,1000,67,1000,67,10
fullsort,1000,64,10,10,0.754307,1000,1000,67,1000,67,10
fullsort,1000,64,10,11,0.763875,1000,1000,67,1000,67,10
fullsort,1000,64,10,12,0.762503,1000,1000,67,1000,67,10
fullsort,1000,64,10,13,0.762923,1000,1000,67,1000,67,10
fullsort,1000,64,10,14,0.757633,1000,1000,67,1000,67,10
fullsort,1000,64,10,15,0.767913,1000,1000,67,1000,67,10
fullsort,1000,64,10,16,0.765358,1000,1000,67,1000,67,10
fullsort,1000,64,10,17,0.764737,1000,1000,67,1000,67,10
fullsort,1000,64,10,18,0.769796,1000,1000,67,1000,67,10
fullsort,1000,64,10,19,0.755910,1000,1000,67,1000,67,10
fullsort,1000,64,10,20,0.762703,1000,1000,67,1000,67,10
fullsort,1000,64,10,21,0.765208,1000,1000,67,1000,67,10
fullsort,1000,64,10,22,0.765999,1000,1000,67,1000,67,10
fullsort,1000,64,10,23,0.754116,1000,1000,67,1000,67,10
fullsort,1000,64,10,24,0.758404,1000,1000,67,1000,67,10
fullsort,1000,64,10,25,0.758534,1000,1000,67,1000,67,10
fullsort,1000,64,10,26,0.759437,1000,1000,67,1000,67,10
fullsort,1000,64,10,27,0.792820,1000,1000,67,1000,67,10
fullsort,1000,64,10,28,0.783653,1000,1000,67,1000,67,10
fullsort,1000,64,10,29,0.765528,1000,1000,67,1000,67,10
topk,10000,16,10,0,2.987208,10000,10000,200,10000,200,10
topk,10000,16,10,1,2.964554,10000,10000,200,10000,200,10
topk,10000,16,10,2,3.020933,10000,10000,200,10000,200,10
topk,10000,16,10,3,2.958042,10000,10000,200,10000,200,10
topk,10000,16,10,4,2.929798,10000,10000,200,10000,200,10
topk,10000,16,10,5,2.926432,10000,10000,200,10000,200,10
topk,10000,16,10,6,2.985384,10000,10000,200,10000,200,10
topk,10000,16,10,7,2.951279,10000,10000,200,10000,200,10
topk,10000,16,10,8,2.929538,10000,10000,200,10000,200,10
topk,10000,16,10,9,2.987018,10000,10000,200,10000,200,10
topk,10000,16,10,10,2.982008,10000,10000,200,10000,200,10
topk,10000,16,10,11,2.974533,10000,10000,200,10000,200,10
topk,10000,16,10,12,2.965166,10000,10000,200,10000,200,10
topk,10000,16,10,13,2.936822,10000,10000,200,10000,200,10
topk,10000,16,10,14,2.934257,10000,10000,200,10000,200,10
topk,10000,16,10,15,2.925630,10000,10000,200,10000,200,10
topk,10000,16,10,16,2.944446,10000,10000,200,10000,200,10
topk,10000,16,10,17,2.960587,10000,10000,200,10000,200,10
topk,10000,16,10,18,2.925429,10000,10000,200,10000,200,10
topk,10000,16,10,19,2.983061,10000,10000,200,10000,200,10
