estrategia,vectores,dimension,k,consultas,media_ms,minimo_ms,maximo_ms,desviacion_ms,p50_ms,p95_ms,p99_ms,consultas_por_segundo,distancias_por_consulta
fullsort,1000,64,10,30,0.7771,0.7499,0.9553,0.0468,0.7650,0.9433,0.9553,1286.8,1000.0
fullsort,10000,16,10,30,4.9230,4.7952,5.1157,0.0922,4.9144,5.0826,5.1157,203.1,10000.0
fullsort,10000,32,10,30,5.7581,5.6449,5.9132,0.0847,5.7544,5.9005,5.9132,173.7,10000.0
fullsort,10000,64,1,30,8.3882,8.2862,8.5642,0.0850,8.3515,8.5628,8.5642,119.2,10000.0
fullsort,10000,64,5,30,8.2668,7.9671,10.2744,0.5228,8.0651,9.6756,10.2744,121.0,10000.0
fullsort,10000,64,10,30,7.9819,7.8343,8.7405,0.1597,7.9314,8.1411,8.7405,125.3,10000.0
fullsort,10000,64,20,30,8.7534,7.9991,10.9381,0.8772,8.2758,10.8080,10.9381,114.2,10000.0
fullsort,10000,64,50,30,8.1703,7.9985,9.8141,0.3773,8.0502,9.2435,9.8141,122.4,10000.0
fullsort,10000,128,10,30,12.6555,12.4698,13.2444,0.2005,12.6146,13.1873,13.2444,79.0,10000.0
fullsort,10000,256,10,30,25.0823,24.5132,26.3498,0.4437,25.0309,26.1621,26.3498,39.9,10000.0
fullsort,50000,64,10,30,45.2942,43.2453,52.6237,2.0253,44.6671,49.9606,52.6237,22.1,50000.0
fullsort,100000,64,10,30,101.7561,98.9387,106.9849,1.7861,101.8477,104.5426,106.9849,9.8,100000.0
topk,1000,64,10,30,0.5907,0.5831,0.6084,0.0052,0.5902,0.6003,0.6084,1692.8,1000.0
topk,10000,16,10,30,2.9548,2.9247,3.0209,0.0245,2.9521,2.9872,3.0209,338.4,10000.0
topk,10000,32,10,30,3.6942,3.6682,3.8344,0.0377,3.6826,3.7892,3.8344,270.7,10000.0
topk,10000,64,1,30,6.0978,6.0495,6.5266,0.0948,6.0714,6.2719,6.5266,164.0,10000.0
topk,10000,64,5,30,5.9152,5.8032,6.2007,0.0947,5.9046,6.0741,6.2007,169.1,10000.0
topk,10000,64,10,30,5.8778,5.8089,6.2492,0.0891,5.8475,6.0138,6.2492,170.1,10000.0
topk,10000,64,20,30,6.1000,5.9870,6.4494,0.1101,6.0530,6.3369,6.4494,163.9,10000.0
topk,10000,64,50,30,5.9658,5.8598,6.2918,0.0991,5.9258,6.2001,6.2918,167.6,10000.0
topk,10000,128,10,30,10.3784,10.2529,10.7693,0.1506,10.3195,10.7633,10.7693,96.4,10000.0
topk,10000,256,10,30,21.0770,20.7486,21.6956,0.2418,21.0720,21.5777,21.6956,47.4,10000.0
topk,50000,64,10,30,30.3542,29.9797,30.7299,0.1835,30.3704,30.6358,30.7299,32.9,50000.0
topk,100000,64,10,30,63.0133,62.3002,64.4135,0.4260,63.0638,63.5570,64.4135,15.9,100000.0
